Album	Year	Song	Main composer	L	M	H	S	NumAuth	OtherAuth	Singer	Lyrics	compound	neg	neu	pos	Label
The Beatles	1968	The Continuing Story of Bungalow Bill	Lennon	1	0	0	0	1	0	Lennon	"  Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill?    He went out tiger hunting with his elephant and gun In case of accidents, he always took his mum He's the all American, bullet-headed, Saxon mother's son All the children sing    Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill?    Deep in the jungle, where the mighty tiger lies Bill and his elephants were taken by surprise So Captain Marvel zapped him right between the eyes All the children sing    Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill?    The children asked him if to kill was not a sin ""Not when he looked so fierce,"" his mummy butted in ""If looks could kill, it would have been us instead of him"" All the children sing    Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill?    Eh, up!"	-0.9979	0.284	0.689	0.027	n
Abbey Road	1969	I Want You (She's So Heavy)	Lennon	1	0	0	0	1	0	Lennon	  I want you I want you so bad I want you I want you so bad, it's driving me mad It's driving me mad I want you I want you so bad, babe I want you I want you so bad, it's driving me mad It's driving me...    I want you I want you so bad, babe I want you I want you so bad, it's driving me mad It's driving me mad I want you I want you so bad I want you I want you so bad, it's driving me mad It's driving me...    She's so... Heavy Heavy (Heavy, heavy)       She's so... Heavy She's so heavy (Heavy, heavy)    I want you I want you so bad I want you I want you so bad, it's driving me mad It's driving me mad I want you You know I want you so bad, babe I want you You know I want you so bad, it's driving me mad It's driving me mad Yeah!    She's so...   	-0.9966	0.337	0.515	0.148	n
The Beatles	1968	Cry Baby Cry	Lennon	1	0	0	0	1	0	Lennon	  Cry baby cry Make your mother sigh She's old enough to know better    The king of Marigold was in the kitchen Cooking breakfast for the queen The queen was in the parlour Playing piano for the children of the king    Cry baby cry Make your mother sigh She's old enough to know better So cry baby cry    The king was in the garden Picking flowers for a friend who came to play The queen was in the playroom Painting pictures for the children's holiday    Cry baby cry Make your mother sigh She's old enough to know better So cry baby cry    The duchess of Kircaldy always smiling And arriving late for tea The duke was having problems With a message at the local Bird and Bee    Cry baby cry Make your mother sigh She's old enough to know better So cry baby cry    At twelve o'clock a meeting round the table For a seance in the dark With voices out of nowhere Put on specially by the children for a lark    Cry baby cry Make your mother sigh She's old enough to know better So cry baby cry  Cry cry cry baby Make your mother sigh She's old enough to know better So cry baby cry    Can you take me back where I came from Can you take me back Can you take me back where I came from Brother, can you take me back Can you take me back Mm, can you take me where I came from Can you take me back	-0.9942	0.242	0.646	0.112	n
The Beatles	1968	Yer Blues	Lennon	1	0	0	0	1	0	Lennon	  Two, three...    Yes, I'm lonely Want to die Yes, I'm lonely Want to die If I ain't dead already, woo Girl, you know the reason why    In the morning Want to die In the evening Want to die If I ain't dead already, woo Girl, you know the reason why    My mother was of the sky My father was of the earth But I am of the universe And you know what it's worth I'm lonely Want to die If I ain't dead already, woo Girl, you know the reason why    The eagle picks my eye The worm he licks my bones I feel so suicidal Just like Dylan's Mr. Jones Lonely Want to die If I ain't dead already, woo Girl, you know the reason why    Black cloud crossed my mind Blue mist round my soul Feel so suicidal Even hate my rock and roll Want to die Yeah, want to die If I ain't dead already, woo Girl, you know the reason why	-0.9932	0.312	0.519	0.169	n
Help!	1965	Ticket to Ride	Lennon	1	0	0	0	1	0	Lennon	  I think I'm going to be sad, I think it's today, yeah The girl that's driving me mad is going away    She's got a ticket to ride She's got a ticket to ride She's got a ticket to ride but she don't care    She said that living with me is bringing her down, yeah She would never be free when I was around    She's got a ticket to ride She's got a ticket to ride She's got a ticket to ride but she don't care    I don't know why she's riding so high She ought to think twice, she ought to do right by me Before she gets to saying goodbye She ought to think twice, she ought to do right by me    I think I'm going to be sad, I think it's today, yeah The girl that's driving me mad is going away, yeah    Oh, she's got a ticket to ride She's got a ticket to ride She's got a ticket to ride but she don't care    I don't know why she's riding so high She ought to think twice, she ought to do right by me Before she gets to saying goodbye She ought to think twice, she ought to do right by me    She said that living with me is bringing her down, yeah She would never be free when I was around    Oh, she's got a ticket to ride She's got a ticket to ride She's got a ticket to ride but she don't care    My baby don't care My baby don't care My baby don't care My baby don't care My baby don't care My baby don't care	-0.9919	0.17	0.79	0.04	n
A Hard Day's Night	1964	Tell Me Why 	Lennon	1	0	0	0	1	0	Lennon	  Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me    Well I gave you everything I had But you left me sitting on my own Did you have to treat me, oh, so bad All I do is hang my head and moan    Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me    If there's something I have said or done Tell me what and I'll apologize If you don't, I really can't go on Holding back these tears in my eyes    Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me    Well I beg you on my bended knees If you'll only listen to my pleas Is there anything I can do 'Cause I really can't stand it, I'm so in love with you    Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me	-0.9912	0.251	0.682	0.067	n
Revolver	1966	Eleanor Rigby	McCartney	0	1	0	0	1	0	McCartney	  Ah, look at all the lonely people! Ah, look at all the lonely people!    Eleanor Rigby Picks up the rice in the church where a wedding has been Lives in a dream Waits at the window Wearing the face that she keeps in a jar by the door Who is it for?    All the lonely people Where do they all come from? All the lonely people Where do they all belong?    Father McKenzie Writing the words of a sermon that no one will hear No one comes near Look at him working Darning his socks in the night when there's nobody there What does he care?    All the lonely people Where do they all come from? All the lonely people Where do they all belong?    Ah, look at all the lonely people! Ah, look at all the lonely people!    Eleanor Rigby Died in the church and was buried along with her name Nobody came Father McKenzie Wiping the dirt from his hands as he walks from the grave No one was saved    All the lonely people (Ah, look at all the lonely people!) Where do they all come from? All the lonely people (Ah, look at all the lonely people!) Where do they all belong?	-0.9876	0.198	0.769	0.033	n
The Beatles	1968	I'm So Tired	Lennon	1	0	0	0	1	0	Lennon	  I'm so tired, I haven't slept a wink I'm so tired, my mind is on the blink I wonder should I get up and fix myself a drink No, no, no    I'm so tired, I don't know what to do I'm so tired, my mind is set on you I wonder should I call you but I know what you would do    You'd say I'm putting you on But it's no joke, it's doing me harm You know I can't sleep, I can't stop my brain You know it's three weeks, I'm going insane You know I'd give you everything I've got For a little peace of mind    I'm so tired, I'm feeling so upset Although I'm so tired, I'll have another cigarette And curse Sir Walter Raleigh, he was such a stupid git    You'd say I'm putting you on But it's no joke, it's doing me harm You know I can't sleep, I can't stop my brain You know it's three weeks, I'm going insane! You know I'd give you everything I've got For a little peace of mind I'd give you everything I've got for a little peace of mind I'd give you everything I've got for a little peace of mind I'd give you everything I've got for a little peace of mind    Monsieur, monsieur, monsieur, how about another one?	-0.9815	0.198	0.702	0.1	n
Abbey Road	1969	Maxwell's Silver Hammer	McCartney	0	1	0	0	1	0	McCartney	"  Joan was quizzical; Studied pataphysical science in the home Late nights all alone with a test tube, oh, oh, oh, oh Maxwell Edison, majoring in medicine  Calls her on the phone ""Can I take you out to the pictures, Joa-oa-oa-oan?"" But as she's getting ready to go A knock comes on the door    Bang! Bang! Maxwell's silver hammer Came down upon her head Klang! Klang! Maxwell's silver hammer Made sure that she was dead    Back in school again Maxwell plays the fool again Teacher gets annoyed Wishing to avoid an unpleasant sce-e-e-ene She tells Max to stay When the class has gone away So he waits behind Writing 50 times ""I must not be so, o, o, o"" But when she turns her back on the boy He creeps up from behind    Bang! Bang! Maxwell's silver hammer Came down upon her head (Do-do-do-do) Klang! Klang! Maxwell's silver hammer Made sure that she was dead (Do-do-do-do)    P. C. 31 said, ""We caught a dirty one."", Maxwell stands alone Painting testimonial pictures, oh, oh, oh, oh Rose and Valerie,  Screaming from the gallery, say he must go free (Maxwell must go free) The judge does not agree and he tells them so-o-o-o But as the words are leaving his lips A noise comes from behind    Bang! Bang! Maxwell's silver hammer Came down upon his head Klang! Klang! Maxwell's silver hammer Made sure he was dead    Whoa, whoa, whoa Doo-doo doo-doo, doo Silver hammer man"	-0.9758	0.16	0.753	0.088	n
Abbey Road	1969	Come Together	Lennon	1	0	0	0	1	0	Lennon	"  Shoot me Shoot me Shoot me Shoot me    Here come old flat-top, he come groovin' up slowly He got ju-ju eyeball, he one holy roller He got hair down to his knee Got to be a joker, he just do what he please    Shoot me Shoot me Shoot me Shoot me    He wear no shoeshine, he got toe-jam football He got monkey finger, he shoot Coca-Cola He say, ""I know you, you know me"" One thing I can tell you is you got to be free    Come together, right now Over me    Shoot me Shoot me Shoot me Shoot me  Verse 3 He bag production, he got walrus gumboot He got Ono sideboard, he one spinal cracker He got feet down below his knee Hold you in his armchair, you can feel his disease    Come together, right now Over me    Shoot me Shoot me Right!    Come, come, come, come    He roller-coaster, he got early warnin' He got muddy water, he one mojo filter He say, ""One and one and one is three."" Got to be good-lookin' 'cause he's so hard to see    Come together, right now Over me    Shoot me Shoot me Shoot me Shoot me Ugh!    Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah Uh... Come together, yeah Come together, yeah Come together..."	-0.9724	0.194	0.707	0.099	n
