Composer	Song	Lyrics	compound	neg	neu	pos	Label
L	Scumbag	"Scumbag, scumbag,   Scumbag, scumbag.   Scumbag, yeah! Scumbag,   Scumbag, scumbag, ho!   Scumbag, scumbag,   Scumbag, scumbag.   Scumbag, scumbag,   Scumbag, scumbag.   Scumbag, scumbag,   Scumbag, scumbag.   Scumbag, scumbag,   Scumbag, scumbag.   Scumbag, scumbag,   Scumbag.   Scumbag, scumbag, scumbag.   Scumbag.   Scumbag, scumbag,   Scumbag, scumbag.   Scum, scum, scumbag,   Scumbag, scumbag, scumbag, scumbag,   Scumbag, scumbag, scumbag, scumbag.   -""Hey, listen! I don't know whether you can tell what the   Words are to this song but there's only two of them   And I'd like to have you sing along 'cause it's real easy.   Anybody who comes to the fillmore east can sing this song.   The name of the song is 'scumbag'.   Ok? And all you gotta do is sing 'scumbag'.   Right on, brothers and sister let's hear it for the 'scumbag'!""   Scumbag! Scumbag! Scumbag! Scumbag! Scumbag!   Scumbag! Scumbag! Scumbag! Scumbag!   Scumbag, scumbag, scumbag, scumbag, scumbag,   Scumbag, scumbag, scumbag, scumbag, scumbag,   Scumbag, scumbag, scumbag, scumbag, scumbag,   Scum,   Scumbag, baby, scumbag,   Scumbag.   Scumbag, baby,   Scumbag, baby, scumbag, baby   Scumbag, baby, scumbag, baby   Scumbag, scumbag, baby   Scumbag, scumbag, baby   Scumbag, oh yeah, scumbag   Scumbag scumbag   Scumbag scumbag who's scumbag?   Hey, scumbag, scumbag   Scumbag scumbag   Scumbag scumbag   Scumbag, scumbag,   Scum, uh!   Scumbag,   Scumbag,   Scumbag scumbag   Scumbag,   Scumbag,   Scumbag,   Scumbag.   Oh, oh, oh, yeah"	-0.9999	0.824	0.151	0.025	n
L	Don't Worry, Kyoko Mummy's Only Looking For Her Hand In The Snow	Snow -   Don't worry, don't worry, don't worry, don't worry,   Don't worry, don't worry, don't worry, don't worry,   Don't worry, don't worry, don't worry, don't worry,   Don't worry, don't worry, don't worry, don't worry,   Don't worry, don't worry, don't worry, don't worry,   Don't worry.   Don't worry.   Don't worry,   Cgbl?jm klngbbhe   Don't, don't, don't, don't, don't, don't, don't,   Don't, don't, don't, don't, don't, don't, don't, kyoko.   Don't worry.   Don't -   Don't worry, don't worry, don't worry, don't worry,   Don't worry, don't worry, don't worry, don't worry,   Don't worry.   Kyoko, don't worry.   Don't worry, don't worry, don't worry, don't worry,   Don't worry, don't worry, don't worry, don't worry,   Don't worry.   Don't, don't	-0.9953	0.538	0.431	0.031	n
L	I'm Losing You	Here in some stranger's room   Late in the afternoon   What am I doing here at all?   Ain't no doubt about it   I'm losing you   I'm losing you   Somehow the wires got crossed   Communication's lost   Can't even get you on the telephone   Just got to shout about it   I'm losing you   I'm losing you   Well, here in the valley of indecision   I don't know what to do   I feel you slipping away   I feel you slipping away   I'm losing you   I'm losing you   Well now, you say you're not getting enough   But I remind you of all that bad, bad, bad stuff   So what the hell am I supposed to do?   Just put a bandaid on it?   And stop the bleeding now   Stop the bleeding now   I'm losing you   I'm losing you   Well, well, well   I know I hurt you then   But hell, that was way back when   Well, do you still have to carry that cross? drop it   Don't want to hear about it   I'm losing you   I'm losing you   Don't want to lose you now   Welllllllll!   So long ago	-0.9952	0.306	0.624	0.07	n
L	Born In A Prison	We're born in a prison   Raised in a prison   Sent to a prison called school   We cry in a prison   We love in a prison   We dream in a prison like fools   Wood becomes a flute when it's loved   Reach for yourself and your battered mates   Mirror becomes a razor when it's broken   Look in the mirror and see your shattered fate   We live with no reason   Kicked around for no reason   Thrown out without reason like tools   We work in a prison   And hate in a prison   And die in a prison as a rule   Wood becomes a flute when it's loved   Reach for yourself and your battered mates   Mirror becomes a razor when it's broken   Look in the mirror and see your shattered fate   We live in a prison   Among judges and wardens   And wait for no reason for you   We laugh in a prison   Go through all four seasons   And die with no vision of truth   Wood becomes a flute when it's loved   Reach for yourself and your battered mates   Mirror becomes a razor when it's broken   Look in the mirror and see your shattered fate	-0.9947	0.315	0.573	0.112	n
L	Sunday Bloody Sunday	Well, it was Sunday, bloody Sunday   When they shot the people there   The cries of thirteen martyrs   Filled the Free Derry air   Is there any one amongst you   Dare to blame it on the kids?   Not a soldier boy was bleeding   When they nailed the coffin lids   Sunday, bloody Sunday   Bloody Sunday's the day   You claim to be majority   Well, you know that it's a lie   You're really a minority   On this sweet emerald isle   When Stormont bans our marches   They've got a lot to learn   Internment is no answer   It's those mothers' turn to burn   Sunday, bloody Sunday   Bloody Sunday's the day   Sunday, bloody Sunday   Bloody Sunday's the day   You anglo pigs and scotties   Sent to colonize the North   You wave your bloody Union Jack   And you know what it's worth   How dare you hold to ransom   A people proud and free   Keep Ireland for the Irish   Put the English back to sea   Sunday, bloody Sunday   Bloody Sunday's the day   Well, it's always bloody Sunday   In the concentration camps   Keep Falls Road free forever   From the bloody English hands   Repatriate to Britain   All of you who call it home   Leave Ireland to the Irish   Not for London or for Rome   Sunday, bloody Sunday   Bloody Sunday's the day   Sunday, bloody Sunday   Bloody Sunday's the day   Sunday, bloody Sunday   Bloody Sunday's the day   Sunday, bloody Sunday   Bloody Sunday's the day	-0.9897	0.232	0.682	0.086	n
L	Serve Yourself	You say you found Jesus    Christ.      He's the only one   You say you found Buddha   Sittin' in the sun   You say you found Mohammed   Facin' to the East   You say you found Krishna   Dancin' in the streets   Well, there's somethin' missing in this God Almighty stew   And it's your mother    Your mother, don't forget your mother, lad.      You got to serve yourself   Nobody gonna do it for you   You got to serve yourself   Nobody gonna do it for you   Well, you may believe in devils   And you may believe in lords      But if you don't go out and serve yourself, lad. Ain't no room service here. Think of your poor old mom in the kitchen for Christssake.      It's still the same old story   A bloody Holy War   A fight for love and glory   Ain't gonna study war no more   A fight for God and country   We're gonna set you free   We'll put you back in the Stone Age   If you won't be like me    Get it?      You got to serve yourself   Ain't nobody gonna do for you   You got to serve yourself   Ain't nobody gonna do for you   Well, you may believe in devils   And you may believe in lords      But Christ, you're gonna have to serve yourself, and that's all there is to it. So get right back here, and it's in the bloody fridge. God, when I was a kid! Didn't have stuff like this, TV fuckin' dinners and all that crap. You fuckin' kids all the fuckin' same! Want a fuckin' car now! Lucky to have a pair of shoes!      You tell me you found Jesus Christ   Well, that's great, and he's the only one   You say you just found Buddha   And he's sittin' on his ass in the sun   You say you found Mohammed   Kneelin' on a bloody carpet facin' East   You say you found Krishna   With a bald head dancin' in the street      Well, Christ, now you're going out, you're being heard.      You got to serve yourself   Ain't nobody gonna do for you      That's right, lad, you better get that straight through your fuckin' head.      You got to serve yourself      You know that better, who the hell else is gonna do it for you? It ain't me, kid, I tell you that.      Well, you may believe in Jesus   And you may believe in Marx   And you may believe in Marks and Spencer   And you may believe in bloody Woolworths   But there's something missing in this whole bloody stew   And it's your mother   Your poor bloody mother      She what born you in the back bedroom, full of piss and shit and fuckin' midwives. God, you can't forget that all too quick, you know. You should have been in the bloody war, lad, and you would have known all about it. Well, I'll tell you something.      It's still the same old story   A Holy bloody War    You know, the Pope and all that stuff.      A fight for love and glory   Ain't gonna study no war more war   A fight for God and country    The Queen and all that.      We're gonna set you free    Yeah, well, sure.      We'll bomb you back into the fuckin' Stone Age   If you won't do like me    You know, get on your knees and pray.         Well, there's somethin' missing in this God Almighty stew, and it's your goddamn mother you dirty little git. Now get in there and wash yer ears!   	-0.9893	0.184	0.667	0.149	n
L	Jealous Guy	I was dreaming of the past   And my heart was beating fast   I began to lose control   I began to lose control   I didn't mean to hurt you   I'm sorry that I made you cry   Oh no, I didn't want to hurt you   I'm just a jealous guy   I was feeling insecure   You might not love me anymore   I was shivering inside   I was shivering inside   Oh, I didn't mean to hurt you   I'm sorry that I made you cry   Oh no, I didn't want to hurt you   I'm just a jealous guy   I didn't mean to hurt you   I'm sorry that I made you cry   Oh no, I didn't want to hurt you   I'm just a jealous guy   I was trying to catch your eye   Thought that you was trying to hide   I was swallowing my pain   I was swallowing my pain   I didn't mean to hurt you   I'm sorry that I made you cry   Oh no, I didn't want to hurt you   I'm just a jealous guy, watch out   I'm just a jealous guy, look out, babe   I'm just a jealous guy	-0.9857	0.268	0.631	0.1	n
L	Scared	I'm scared, I'm scared, I'm scared   I'm scared, so scared   I'm scared, I'm scared, I'm scared   As the years roll away   And the price that I paid   And the straws slips away   You don't have to suffer   It is what it is   No bell book or candle   Can get you out of this, oh no!   I'm scarred, I'm scarred, I'm scarred   I'm scarred, uh huh   I'm scarred, I'm scarred, I'm scarred   Every day of my life   I just manage to survive   I just wanna stay alive   You don't have to worry   In heaven or hell   Just dance to the music   You do it so well, well, well!   Hatred and jealousy, gonna be the death of me   I guess I knew it right from the start   Sing out about love and peace   Don't wanna see the red raw meat   The green eyed goddamn straight from your heart   I'm tired, I'm tired, I'm tired   Of being so alone   No place to call my own   Like a rollin' stone	-0.9822	0.261	0.603	0.136	n
L	The Rishi Kesh Song	 All you need to do   Is to say this little word   I know it sounds absurd   But it's true   The magic's in the mantra   We'll give you all the answers   So swallow this   That's all you've got to do   Ev'rything you need is here   And ev'rything that's not here   Is not there   And yet there's something missing   In this god almighty plan   Could it be you need a woman?   Ah now, all you need to do   Is to say this little word   I know it sounds absurd   But it's true   The magic's in the mantra   We'll give you all the answers   So swallow this   That's all you've got to do   But still   You're so suicidal   Something is wrong   This can't be it   Something is wrong   Uuh -   Something is wrong   Something is wrong   Something is wrong	-0.9767	0.189	0.751	0.06	n
L	What You Got	Don't wanna be a drag, everybody gotta bag   I know you know, 'bout the emperor's clothes   You don't know what you got, until you lose it   You don't know what you got, until you lose it   You don't know what you got, until you lose it   Oh baby, baby, baby gimme one more chance   Well it's Saturday night and I just gotta rip it up   Sunday morning I just gotta give it up   Come Monday momma and I just gotta run away   You know it's such a drag to face another day   You don't know what you got, until you lose it   You don't know what you got, until you lose it   You don't know what you got, until you lose it   Oh baby, baby, baby gimme one more chance   You know the more it change, the more it stays the same   You gotta hang on in, you gotta cut the string   You don't know what you got, until you lose it   You don't know what you got, until you lose it   You don't know, you don't know what you got, until you lose it   Oh baby, baby, baby gimme one more chance	-0.958	0.14	0.818	0.043	n
