The Lovely Linda,"La la la la la the lovely Linda   With the lovely flowers in her hair   La la la la la the lovely Linda   With the lovely flowers in her hair"
 That Would Be Something,"That Would Be Something   It really would be something   That Would Be Something   To meet you in the fallin' rain momma   Meet you in the fallin' rain   Meet you in the fallin' rain mama   Meet you in the fallin' rain   That Would Be Something   It really would be something   That Would Be Something   To meet you in the fallin' rain momma   Meet you in the fallin' rain   Meet you in the fallin' rain mama   Meet you in the fallin' rain   The falling rain   The falling rain   That Would Be Something   It really would be something   That Would Be Something   To meet you in the fallin' rain momma   Meet you in the fallin' rain"
 Every Night,"Ev'ry night I just wanna go out   Get out of my head   Ev'ry day I don't wanna get up   Get out of my bed   Ev'ry night I want to play out   And ev'ry day I wanna do-ooh-ooh-ooh-ooh   But tonight I just wanna stay in   And be with you-ooh   And be with you   Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh   Ooh-ooh-ooh-ooh   Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh   Ooh-ooh-ooh-ooh   Ev'ry day I lean on a lamp post   I'm wasting my time   Ev'ry night I lay on a pillow   I'm resting my mind   Ev'ry morning brings a new day   And ev'ry night that day is through   But tonight I just wanna stay in   And be with you   And be with you   Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh   Ooh-ooh-ooh-ooh, believe me, momma   Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh, momma   Ooh-ooh-ooh-ooh   Ooh-ooh-ooh-ooh..."
 Junk,"Motor cars, handlebars   Bicycles for two   Broken-hearted jubilee   Parachutes, Army boots   Sleeping bags for two   Sentimental jamboree   Buy, buy   Says the sign in the shop window   Why, why   Says the junk in the yard   Candlesticks, building bricks   Something old and new   Memories for you and me   Buy, buy   Says the sign in the shop window   Why, why   Says the junk in the yard"
 Man We Was Lonely,"Man we was lonely   Yes, we was lonely   And we was hard pressed to find a smile   Man we was lonely   Yes, we was lonely   But now we're fine all the while   I used to ride on my fast city line   Singing songs that I thought were mine alone alone, alone   Now let me lie with my love all the time   I am home home, home home, home   Man we was lonely   Yes, we was lonely   And we was hard pressed to find a smile   Man we was lonely   Yes, we was lonely   But now we're fine all the while   Woo!   Now let me lie with my love all the time   I am home home, home home, home   Man we was lonely   Yes, we was lonely   And we was hard pressed to find a smile   Man we was lonely   Yes, we was lonely   But now we're fine all the while   But now we're fine all the while   But now we're fine all the while"
 Oo You,"Look like a woman   Dress like a lady   Talk like a baby   Love like a woman   Ooh you   Ooh you   Walk like a woman   Sing like a blackbird   Eat like a hunger   Cook like a woman   Ooh you   Ooh you   Look like a woman   Dress like a lady   Talk like a baby   Love like a woman   Ooh you   Ooh you"
 Teddy Boy,"This is a story of a boy named Ted   If his mother said Ted be good, he would   She told him Ted about his soldier dad   But it made her sad and she cry, oh my   Ted used to tell her   He could be twice as good   And he new he could   Cause in his head he said   Mommy don't worry now Teddy boy's here   Taking good care of you   Mommy don't worry Teddy boy's here   Teddy's gonna see you through   Then came the day she found herself a man   Teddy turned and ran   Far away   Ok   He couldn't stand to see his mother in love   With another man   He didn't know   Oh no   He found a place where he could settle down   And from time to time   In his head, he said   Mommy don't worry now Teddy boy's here   Taking good care of you   Mommy don't worry now Teddy boy's here   Teddy's gonna see you through   She said teddy don't worry now mommy is here   Taking good care of you   Teddy don't worry your mummy is here   Mummy's gonna see you through   This is a story of a boy named Ted   If his mother said Ted be good, he would"
 Maybe I'm Amazed,"Maybe I'm amazed at the way you love me all the time   Maybe I'm afraid of the way I love you   Maybe I'm amazed at the way you pull me out of time   You hung me on the line   Maybe I'm amazed at the way I really need you   Maybe I'm a man   Maybe I'm a lonely man who's in the middle of something   That he doesn't really understand   Maybe I'm a man   And maybe you're the only woman who could ever help me   Baby, won't you help me to understand?   Ooh   Maybe I'm a man   Maybe I'm a lonely man who's in the middle of something   That he doesn't really understand   Maybe I'm a man   And maybe you're the only woman who could ever help me   Baby, won't you help me to understand?   Ooh   Maybe I'm amazed at the way you're with me all the time   Maybe I'm afraid of the way I leave you   Maybe I'm amazed at the way you help me sing my song   Right me when I'm wrong   Maybe I'm amazed at the way I really need you"
 Suicide,"Girls it's been my pleasure   To know quite a lot of you.   And in the main   You're pretty sane, it's true.   But there are a few who do to   Doo ti doo too beautiful a job.   It isn't quite what they planned   When the man gets the upper hand.   He's takin' her for a ride.   I'd call it suicide.   If when she tries to run away   And he calls her back, she comes.   If there's a next time, he's okay   'Cause she's under both his thumbs.   She limps along to his side   Singing a song of ruin. I'd   Bet he says nothin' doin'.   I-I-I-I I'd call it suicide.   She loves to ride in big parades.   But he wouldn't so she won't.   She needs at least a dozen maids.   But if he says no she don't.   He wishes she knew his side.   Soon there'll be trouble brewin' I'd   Bet he says nothin' doin'   I-I-I-I I'd call it suicide.   Suicide, she's committin' it   Suicide, he's not gettin' it   Suicide, it's a quittin' a day.   She limps along to his side   Singing a song of ruin. I'd   Bet he says nothin' doin'.   I-I-I-I I'd call it suicide."
 Too Many People,"Piece of cake   Too many people going underground   Too many reaching for a piece of cake!   Too many people pulled and pushed around   Too many waiting for that lucky break!   That was your first mistake   You took your lucky break and broke it in two   Now what can be done for you?   You broke it in two   Too many people sharing party lines   Too many people never sleeping late   Too many people paying parking fines   Too many hungry people losing weight!   That was your first mistake   You took your lucky break and broke it in two   Now what can be done for you?   You broke it in two   Too many people preaching practices   Don't let 'em tell you what you wanna be!   Too many people holding back   This is crazy and baby, it's not like me!   That was your last mistake   I find my love awake and waiting to be   Now what can be done for you?   She's waiting for me, yeah"
 3 Legs,"Well when I walk, when I walk   On my horse upon the hill when I walk the horse upon a hill   Well when I walk, walk walk walk   On my horse upon the hill when I walk the horse upon a hill   And I lay me down   Will my lover love me still   A dog is here, a dog is here, a dog is there a dog is there   My dog he got three leg   But he can't run   Well when I thought, well I thought   When I thought you was my friend when I thought I could call you my friend   When I thought, when I thought   When I thought you was my friend when I thought I could call you my friend   But you laid me down, put my heart around the bend   A fly flies in a fly flies in, a fly flies out a fly flies out   Most flies they got three leg, but mine got one.   Well when I fly when I fly when I fly, when I fly above the cloud   When I fly above the man in the crowd   Well when I fly when I fly when I fly, when I fly above the crowd   When I fly above the man in the crowd   You can knock me down with a feather, yes you could   But you know it's not allowed but you know it's not allowed   A dog is here, a dog is here, a dog is there a dog is there   My dog he got three leg   But he can't run   My dog he got three leg   Your dog he got none   My dog he got three leg   Your dog he got none   My dog he got three leg   Your dog he got none"
 Ram On,"Ram on, give your heart to somebody,   Soon, right away, right away.   Ram on, give your heart to somebody,   Soon, right away, right away."
 Dear Boy,"I guess you never knew, dear boy, what you have found,   I guess you never knew, dear boy,   That she was just the cutest thing around,   I guess you never knew what you have found,   Dear boy.   I guess you never saw, dear boy,   That love was there.   And maybe when you look to hard, dear boy,   You never do become aware,   I guess you never did become aware,   Dear boy.   When I stepped in, my heart was down and out,   But her love came through and brought me 'round,   Got me up and about.   Dear boy,   Dear boy, dear boy,   Dear boy.   When I stepped in, my heart was down and out,   But her love came through and brought me 'round,   Got me up and about.   I hope you never know, dear boy,   How much you missed.   And even when you fall in love, dear boy,   It won't be half as good as this.   I hope you never know how much you missed,   Dear boy, how much you missed,   Dear... boy."
 Uncle Albert/Admiral Halsey,"We're so sorry, Uncle Albert   We're so sorry if we caused you any pain   We're so sorry, Uncle Albert   But there's no one left at home, and I believe I'm gonna rain   We're so sorry, but we haven't heard a thing all day   We're so sorry, Uncle Albert   But if anything should happen, we'll be sure to give a ring   human voice imitates telephone ringing   distorted voice, as if heard over a telephone   We're so sorry, Uncle Albert   But we haven't done a bloody thing all day   We're so sorry, Uncle Albert   But the kettle's on the boil, and we're so easily called away   Yeah, yeah, yeah, yeah   Hands across the water, water   Heads across the sky   Hands across the water, water   Heads across the sky   Admiral Halsey notified me   He had to have a berth or he couldn't get to sea   I had another look and I had a cup of tea   And butter pie   A butter pie?   The butter wouldn't melt, so I put it in a pie   Hands across the water, water   Heads across the sky   Hands across the water, water   Heads across the sky   Live a little, be a gypsy   Get around Get around   Get your feet up off the ground   Live a little, get around   Live a little, be a gypsy   Get around Get around   Get your feet up off the ground   Live a little, get around   Hands across the water, water   Heads across the sky   Hands across the water, water   Heads across the sky"
 Smile Away,"I was walking down the street the other day,   Who did I meet?   I met a friend of mine and he did say:   ""Man, I can smell your feet a mile away.""   Smile away, smile away, smile away, yeah, smile away,   Smile away, smile away, smile away, yeah, smile away.   Yeah, smile away, smile away, smile away, yeah, smile away,   Smile away, smile away, smile away, yeah, smile away.   I was walking down the street the other day,   Ah, who did I meet?   I met a friend of mine and he just said:   ""Man, I can smell your breath a mile away.""   Smile away, smile away, smile away, yeah, smile away, oh,   Ho! smile away, smile away, smile away, yeah, smile away.   Ah, smile away sweetly now,   Come on now, ooh, sweetly smile away,   Yes, Sir! smile away,   Now, smile away quietly now,   Ooh, ho, ho, ho.   Smile away horribly now,   Smile away, smile away, smile away,   Yes, Sir! smile away,   Ah-oh,   Ooh.   Ah, who did I meet?   I met a friend of mine and he did say:   ""Man, I can smell your teeth a mile away.""   Smile away, uh, smile away, uh,   Smile away, uh, smile away, uh,   Smile away, uh, smile away, uh,   Smile away, uh, smile away"
