Composer	Song	Lyrics	compound	neg	neu	pos
L	Mother	Mother, you had me, but I never had you   I wanted you, you didn't want me   So I, I just got to tell you   Goodbye, goodbye   Father, you left me, but I never left you   I needed you, you didn't need me   So I, I just got to tell you   Goodbye, goodbye   Children, don't do what I have done   I couldn't walk, and I tried to run   So I, I just got to tell you   Goodbye, goodbye   Mama, don't go, daddy, come home   Mama, don't go, daddy, come home   Mama, don't go, daddy, come home   Mama, don't go, daddy, come home   Mama, don't go, daddy, come home	-0.0857	0.012	0.988	0.0
L	Hold On	Hold on John   John hold on   It's gonna be alright   You're gonna win the fight   Hold on Yoko   Yoko hold on   It's going to be alright   You're going to make the flight   When you're by yourself   And there's no one else   You just have yourself   And you tell yourself   Just to hold on   Cookie   Hold on world   World hold on   It's going to be alright   You're going to see the light   And when you're one   Really one   Well you get things done   Like they've never been done   So hold on	0.835	0.047	0.808	0.145
L	I Found Out	I told you before, stay away from my door   Don't give me that brother, brother, brother, brother   The freaks on the phone, won't leave me alone   So don't give me that brother, brother, brother, brother No!   I - I found out!   I - I found out!   Now that I showed you what I been through,   Don't take nobody's word what you can do,   There ain't no Jesus gonna come from the sky   Now that I found out I know I can cry   I - I found out!   I - I found out!   Some of you sitting there with your cock in your hand   Don't get you nowhere don't make you a man   I heard something 'bout my ma and pa   They didn't want me so they made me a star   I - I found out!   I - I found out!   Old Hare Krishna got nothing on you   Just keep you crazy with nothing to do   Keep you occupied with pie in the sky   There ain't no Guru who can see through your eyes   I - I found out!   I - I found out!   I seen through junkies I been through it all   I seen religion from Jesus to Paul   Don't let them fool you with dope and cocaine   Can't do you no harm to feel your own pain   I - I found out!   I - I found this out!   I - I found out...	0.505	0.052	0.883	0.065
L	Working Class Hero	As soon as you're born, they make you feel small   By giving you no time instead of it all   Till the pain is so big you feel nothing at all   A working class hero is something to be   A working class hero is something to be   They hurt you at home and they hit you at school   They hate you if you're clever and they despise a fool   Till you're so fucking crazy you can't follow their rules   A working class hero is something to be   A working class hero is something to be   When they've tortured and scared you for twenty odd years   Then they expect you to pick a career   When you can't really function, you're so full of fear   A working class hero is something to be   A working class hero is something to be   Keep you doped with religion and sex and TV   And you think you're so clever and classless and free   But you're still fucking peasants as far as I can see   A working class hero is something to be   A working class hero is something to be   There's room at the top, they are telling you still   But first you must learn how to smile as you kill   If you want to be like the folks on the hill   A working class hero is something to be   A working class hero is something to be   If you want to be a hero, well, just follow me   If you want to be a hero, well, just follow me	0.9913	0.09	0.689	0.221
L	Isolation	People say we got it made   Don't they know we're so afraid?   Isolation   We're afraid to be alone   Everybody got to have a home   Isolation   Just a boy and a little girl   Trying to change the whole wide world   Isolation   The world is just a little town   Everybody trying to put us down   Isolation   I don't expect you to understand   After you've caused so much pain   But then again, you're not to blame   You're just a human, a victim of the insane   We're afraid of everyone   Afraid of the sun   Isolation   The sun will never disappear   But the world may not have many years   Isolation	-0.9522	0.202	0.761	0.037
L	Remember	Remember when you were young?   How the hero was never hung   Always got away   Remember how the man   Used to leave you empty handed?   Always, always let you down   If you ever change your mind   About leaving it all behind   Remember, remember, today   And don't feel sorry   The way it's gone   And don't you worry   'Bout what you've done   Just remember when you were small   How people seemed so tall   Always had their way   Do you remember your Ma and Pa   Just wishing for movie stardom   Always, always playing a part   If you ever feel so sad   And the whole world is driving you mad   Remember, remember, today   And don't feel sorry   'Bout the way it's gone   And don't you worry   'Bout what you've done   No, no, remember, remember   The fifth of November	0.4068	0.069	0.829	0.101
L	Love	Love is real   Real is love   Love is feeling   Feeling love   Love is wanting   To be loved   Love is touch   Touch is love   Love is reaching   Reaching love   Love is asking   To be loved   Love is you   You and me   Love is knowing   We can be   Love is free   Free is love   Love is living   Living love   Love is needing   To be loved	0.9985	0.0	0.278	0.722
L	Well Well Well	Well well well oh well well well well oh well   I took my loved one out to dinner   So we could get a bite to eat   And though we both had been much thinner   She looked so beautiful I could eat her   Well well well oh well well well well oh well   I took my loved one to a big field   So we could watch the English sky   We both were nervous feeling guilty   And neither one of us knew just why   Well well well oh well well well well oh well   Well well well oh well well well well oh well...   We sat and talked of revolution   Just like two liberals in the sun   We talked of womens liberation   And how the hell we could get things done   Well well well oh well well well oh well   I took my loved one to a big field   So we could catch the English sky   We both were nervous feeling guilty   And neither one of us knew just why   Well well well oh well well well oh well   Well well well oh well well well oh well...	0.9982	0.054	0.45	0.496
L	Look At Me	Look at me   Who am I supposed to be?   Who am I supposed to be?   Look at me   What am I supposed to be?   What am I supposed to be?   Look at me   Oh my love, oh my love   Here I am   What am I supposed to do?   What am I supposed to do?   Here I am   What can I do for you?   What can I do for you?   Here I am   Oh my love, oh my love   Please look at me, oh please look at me, my love   Here I am   Oh my love   Who am I?   Nobody knows but me   Nobody knows but me   Who am I?   Nobody else can see   Just you and me   Who are we?   Oh my love, oh my love, oh my love	0.9893	0.0	0.76	0.24
L	God	God is a concept   By which we measure our pain   I'll say it again   God is a concept   By which we measure our pain   Yeah   Pain   Yeah   I don't believe in magic   I don't believe in I-Ching   I don't believe in Bible   I don't believe in Tarot   I don't believe in Hitler   I don't believe in Jesus   I don't believe in Kennedy   I don't believe in Buddha   I don't believe in Mantra   I don't believe in Gita   I don't believe in Yoga   I don't believe in Kings   I don't believe in Elvis   I don't believe in Zimmerman   I don't believe in Beatles   I just believe in me   Yoko and me   And that's reality   The dream is over   What can I say?   The dream is over   Yesterday   I was the dreamweaver   But now I'm reborn   I was the walrus   But now I'm John   And so dear friends   You'll just have to carry on   The dream is over	0.9094	0.038	0.84	0.122
